,128 Ranks,256 Ranks,512 Ranks,2048 Ranks,8196 Ranks
144,420941575,420949888,420875675,420680625,419782776
145,420954292,420948425,420884114,420679773,419805506
146,420963677,420941247,420905838,420693994,419802706
147,420955103,420927829,420890755,420664611,419794106
148,420964962,420948152,420920438,420682173,419804712
149,420950125,420928138,420888682,420671808,419788197
150,420941156,420933749,420897852,420684197,419792474
151,420948069,420913362,420890958,420671008,419806227
152,420949229,420954557,420905037,420682405,419807932
153,420960345,420934832,420888557,420694586,419812957
154,420934294,420939693,420900346,420664218,419791171
155,420962820,420939071,420921735,420684614,419807477
156,420952989,420934425,420888131,420675751,419783838
157,420953076,420942678,420881445,420646836,419788255
158,420965333,420938091,420884397,420694696,419787786
159,420943462,420920666,420900214,420664821,419784505
160,420942538,420932382,420903982,420664007,419794053
161,420948456,420936367,420881020,420669433,419797215
162,420949015,420929376,420889557,420674680,419801032
163,420941279,420928064,420895132,420677262,419803415
164,420940582,420919104,420876469,420654445,419774007
165,420944632,420934379,420903247,420678061,419794444
166,420947651,420938171,420896874,420674533,419825158
167,420963254,420926859,420922836,420685336,419803998
168,420949459,420931083,420899287,420666762,419791758
169,420943229,420925242,420894598,420665436,419791955
170,420938660,420936835,420899559,420661884,419788565
171,420951179,420931966,420902646,420670172,419819825
172,420951009,420953990,420902940,420659640,419810734
173,420960617,420935104,420903792,420662548,419800130
174,420942034,420927646,420895992,420666489,419800936
175,420943089,420923356,420898031,420667054,419789622
176,420964969,420947461,420902194,420702583,419802741
177,420951168,420924950,420894169,420678682,419805787
178,420956552,420933241,420903678,420663679,419802309
179,420931612,420926088,420900531,420678837,419769756
180,420966287,420950546,420900100,420689540,419827981
181,420943496,420925985,420883269,420694001,419790682
182,420936111,420923241,420883039,420652878,419774694
183,420948343,420907447,420883525,420665246,419811595
184,420945169,420917612,420883369,420663911,419784564
185,420938729,420919748,420882794,420662801,419783065
186,420945048,420936178,420904332,420680643,419804200
187,420955281,420935560,420910658,420701623,419818072
188,420947854,420931198,420888230,420670508,419803501
189,420953715,420927500,420877387,420659680,419792724
190,420944904,420939053,420905864,420673948,419786626
191,420966783,420948179,420905377,420669515,419801992
192,420945478,420944718,420901610,420687812,419801384
193,420958945,420923762,420911148,420688847,419787883
194,420943978,420926632,420890113,420665496,419777045
195,420953435,420929453,420885975,420669391,419804653
196,420949452,420929010,420895129,420669888,419782877
197,420960518,420942045,420908598,420677925,419798457
198,420951503,420945123,420912304,420687492,419803263
199,420936677,420916982,420879626,420666685,419784996
200,420955375,420930665,420900005,420694056,419791377
201,420932492,420915527,420893552,420652663,419786789
202,420966356,420952324,420909126,420704837,419794523
203,420940413,420941436,420895769,420683883,419803844
204,420941479,420928106,420886110,420670187,419795178
205,420962066,420946735,420904600,420686648,419800725
206,420958018,420915895,420891818,420667703,419783444
207,420956373,420952492,420901302,420684395,419817524
208,420940419,420926165,420904348,420671055,419783315
209,420938549,420941987,420881597,420673397,419794325
210,420968108,420922339,420909857,420662445,419811581
211,420947616,420933766,420896232,420667917,419811416
212,420940356,420932239,420893881,420672820,419795927
213,420949218,420927832,420900425,420671949,419799932
